,home_team,away_team,home_odds,away_odds
0,Fulham,Arsenal,0.2222222222222222,1.6666666666666667
1,Crystal Palace,Southampton,0.5263157894736842,0.6410256410256411
2,West Ham,Newcastle,0.8547008547008547,0.4149377593360996
3,Liverpool,Leeds,3.5714285714285716,0.10515247108307045
4,West Brom,Leicester,0.36101083032490977,1.0101010101010102
5,Spurs,Everton,1.1627906976744187,0.3048780487804878
6,Brighton,Chelsea,0.25316455696202533,1.4492753623188406
7,Sheffield Utd,Wolves,0.40816326530612246,0.7633587786259542
8,Everton,West Brom,1.5625,0.2336448598130841
9,Leeds,Fulham,1.2345679012345678,0.2849002849002849
10,Leicester,Burnley,1.4285714285714286,0.24875621890547264
11,Manchester Utd,Crystal Palace,3.8461538461538463,0.1006036217303823
12,Southampton,Spurs,0.423728813559322,0.8403361344537815
13,Arsenal,West Ham,1.8181818181818181,0.20876826722338204
14,Aston Villa,Sheffield Utd,0.5780346820809249,0.6024096385542169
15,Newcastle,Brighton,0.6289308176100629,0.5347593582887701
16,Chelsea,Liverpool,0.4444444444444444,0.8695652173913043
17,Wolves,Manchester City,0.17985611510791366,2.0408163265306123
